match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
12260075,1,,30,LOfsRUhc,2,3,1714499700,lehecka-nadal,True
12260076,1,1,16,FyLsvGHb,1,3,1714480500,sinner-khachanov,True
12260077,1,23,2,QCtsytke,2,3,1714484700,alcaraz-struff,True
12260078,1,7,2,fKRsytzc,1,3,1714564800,alcaraz-rublev,False
12260080,2,21,4,nTxsbvNb,1,3,1714488300,cerundolo-zverev,True
12260081,2,12,21,RvebsnvNb,1,3,1714598100,cerundolo-fritz,True
12260083,,1,,nPBisvGHb,2,3,1714652100,sinner-auger-aliassime,True
12260085,1,,5,YFXsnPBb,1,3,1714496100,auger-aliassime-ruud,False
12261594,2,,2,ebnbsBKmd,2,3,1714594500,andreeva-sabalenka,False
12261595,1,,4,VktsmBzs,2,3,1714550400,rybakina-putintseva,True
12261596,1,18,8,ziosbcx,1,3,1714501800,jabeur-keys,False
12276769,2,Q,,vjjslUp,2,3,1714550700,duckworth-berankis,True
12276772,1,5,,nTuwCJbc,1,3,1714554600,bu-escoffier,True
12276773,2,LL,,rOWsLRLb,1,3,1714620600,shimizu-jasika,True
12276774,2,,8,wjkgsMLrc,1,3,1714620600,bellucci-schoolkate,False
12276775,1,A,,ELGesaQHb,2,3,1714633800,holt-hsu,False
12276776,2,,3,uxysAbIb,2,3,1714547100,walton-bolt,False
12276781,2,WC,,oImbsFbTb,2,3,1714553400,zhukayev-rigele-te,True
12276783,1,,7,fLPbsQEpd,2,3,1714609800,lajal-cressy,False
12276806,2,LL,,CousCrJ,1,3,1714651200,villanueva-dutra-da-silva,True
12276816,1,Q,,hVvsWGnc,1,3,1714646700,boscardin-dias-sell,True
12276857,1,A,8,wxDbsJlyc,2,3,1714635000,darderi-ugo-carabelli,True
12276861,2,,4,zQLsqaTb,1,3,1714646700,eubanks-galan,False
12276862,1,7,,GKtsgaab,1,3,1714661100,borges-nishioka,False
12276863,1,6,A,vfusXvuc,1,3,1714633200,svajda-fucsovics,True
12276864,2,Q,2,lXZbspvec,2,3,1714660500,musetti-cerundolo,True
12276924,2,,,voAsXnEk,2,3,1714651200,arango-ponchet,False
12276925,1,Q,,QXtsEhM,2,3,1714637700,shymanovich-paquet,False
12276927,1,7,WC,mFNbsexcc,1,3,1714640400,volynets-monnet,False
12276928,1,8,,iBhsgnW,1,3,1714650000,ferro-cornet,True
12276929,1,1,,tGBbsudVb,1,3,1714570500,sonmez-burel,True
12276934,2,Q,WC,izrcsnMuc,2,3,1714652100,sierra-boisson,False
12276937,2,,5,UupsDQZc,1,3,1714566600,naef-saville,True
12276938,1,3,,VwxcsfOKc,1,3,1714648800,preston-stearns,True
12276975,1,3,,XWhsezJc,1,3,1714631400,andreeva-rus,False
12276976,2,,2,TeCsBXO,2,3,1714649100,siniakova-gjorcheska,False
12276978,2,6,,kOLtmvzc,2,3,1714646700,krueger-kenin,False
12276981,2,,4,aADsaTmw,2,3,1714635000,boskovic-frech,False
12276983,2,,,rpyswmEo,1,3,1714651500,maristany-zuleta-de-reales-radanovic,True
12276986,2,,8,fCqskoK,1,3,1714643400,sherif-bogdan,True
12276987,2,7,,XDKbsbMOc,1,3,1714637700,ciric-bagaric-osorio,True
12287004,1,WC,,BVGbsEcnm,2,3,1714506300,de-almeida-alves,False
12287005,2,A,WC,KjhszpKc,1,3,1714583400,torres-clezar,False
12287006,1,7,,jNhcspVuc,2,3,1714509300,bueno-guillen-meza,True
12287007,2,WC,,CrJscCjh,,3,1714495500,miguel-villanueva,False
12287008,2,,,ibwcsrNcd,1,3,1714507500,zanellato-sakellaridis,False
12287009,1,,2,JRHsGlIc,1,3,1714584900,ambrogi-dellien,True
12287010,,,,BlBsoPij,,3,1714478400,midon-sakamoto,True
12287011,2,,6,jCvsPPAb,1,3,1714478400,habib-cid-subervi,False
12287012,2,8,,EHzesZNFc,1,3,1714576800,vallejo-kirkin,False
12287013,1,,,WGbcsORtc,1,3,1714528800,aboian-boscardin-dias,True
12288044,1,,2,voGsVZAb,1,3,1714473300,blinkova-ponchet,False
12288048,2,,,dlysYnEb,2,3,1714487700,arango-sharma,True
12288050,,3,,RCvsVlec,,3,1714479000,stearns-vickery,True
12288414,,,,afgesWMgi,,3,1714595700,habib-hilderbrand-stepanov-urrea,False
12288415,,,,yGdxsXMge,,3,1714604100,hemery-ouakaa-bueno-vallejo-daniel,False
12288416,,,2,WegesTbge,,3,1714583700,oliveira-popko-britto-villanueva,False
12288417,1,4,,bygesYMge,1,3,1714597500,ambrogie-carou-harper-stevenson,True
12288418,,,,YVensZMge,,3,1714581300,mena-sakellaridis-reis-da-silval-torresb,False
12288419,1,1,,KGFdserWw,1,3,1714592100,watanabe-yuzuki-alves-dutra-da-silva,False
12288420,1,,WC,xMHsLQfc,1,3,1714597200,cid-subervi-uchida-clezar-neis,False
12288421,2,WC,3,IRodsaNge,1,3,1714590300,miguelf-sell-boscardin-dias-guillen-meza,True
12288918,2,7,WC,gaabsrvuc,1,3,1714570200,maestrelli-borges,True
12288919,1,,A,XPrszQG,1,3,1714578300,galan-albot,True
12288920,2,A,A,VpHbsXomc,2,3,1714567800,svajda-piros,True
12288921,2,6,WC,vfubNTUb,1,3,1714565700,zeppieri-fucsovics,True
12288922,1,,5,XWQsWJmd,2,3,1714580100,michelsen-sonego,True
